In |Black   |             Changed by black put              |White   |             Changed by white put              |St.St |Ma.Dsc|
dex| Movable|    1|    2|    3|    4|    5|    6|    7|    8| Movable|    1|    2|    3|    4|    5|    6|    7|    8|B|W|Df|B|W|Df|
---+--------+-----+-----+-----+-----+-----+-----+-----+-----+--------+-----+-----+-----+-----+-----+-----+-----+-----+-+-+--+-+-+--+
0100 20001000 (0,1) (0,0) (0,0) (0,0) (1,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 3 -3 2 0  2 EWBWEWWW
0101 00001000 (0,0) (0,0) (0,0) (0,0) (1,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 1 3 -2 1 0  1 BWBWEWWW
0102 00001000 (0,0) (0,0) (0,0) (0,0) (1,0) (0,0) (0,0) (0,0) 02000000 (0,0) (0,1) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 4 -4 1 1  0 WEBWEWWW
0103 00001000 (0,0) (0,0) (0,0) (0,0) (1,0) (0,0) (0,0) (0,0) 02000000 (0,0) (0,1) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 3 -3 1 1  0 EEBWEWWW
0104 00001000 (0,0) (0,0) (0,0) (0,0) (1,0) (0,0) (0,0) (0,0) 02000000 (0,0) (0,1) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 1 3 -2 1 1  0 BEBWEWWW
0105 00001000 (0,0) (0,0) (0,0) (0,0) (1,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 4 -4 1 0  1 WBBWEWWW
0106 00001000 (0,0) (0,0) (0,0) (0,0) (1,0) (0,0) (0,0) (0,0) 20000000 (0,2) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 3 -3 1 1  0 EBBWEWWW
0107 00001000 (0,0) (0,0) (0,0) (0,0) (1,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 3 3  0 1 0  1 BBBWEWWW
0108 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 6 -6 0 0  0 WWWEEWWW
0109 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 0 3 -3 0 0  0 EWWEEWWW
0110 00010000 (0,0) (0,0) (0,0) (2,0) (0,0) (0,0) (0,0) (0,0) 00000000 (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) (0,0) 1 3 -2 1 0  1 BWWEEWWW
